HGNC ID	Approved Symbol	Approved Name	Entrez Gene ID	Entrez Gene ID(supplied by NCBI)	Ensembl ID(supplied by Ensembl)
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	225	225	ENSG00000173208
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	5825	5825	ENSG00000117528
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	5826	5826	ENSG00000119688
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	6059	6059	ENSG00000164163
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	23	23	ENSG00000204574
HGNC:53628	ABCF1-DT	ABCF1 divergent transcript	107986587	107986587	
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	10061	10061	
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	344653	344653	ENSG00000242159
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	100422059	100422059	ENSG00000228769
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	55324	55324	ENSG00000161204
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	9619	9619	ENSG00000160179
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	9429	ENSG00000118777
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	64137	64137	ENSG00000172350
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	64240	64240	ENSG00000138075
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	64241	64241	ENSG00000143921
HGNC:75	ABCR~withdrawn	symbol withdrawn, see ABCA4			
HGNC:17553	ABHD1	abhydrolase domain containing 1	84696	84696	ENSG00000143994
HGNC:18717	ABHD2	abhydrolase domain containing 2	11057	11057	ENSG00000140526
HGNC:18718	ABHD3	abhydrolase domain containing 3	171586	171586	ENSG00000158201
HGNC:20154	ABHD4	abhydrolase domain containing 4	63874	63874	ENSG00000100439
HGNC:21396	ABHD5	abhydrolase domain containing 5	51099	51099	ENSG00000011198
HGNC:21398	ABHD6	abhydrolase domain containing 6	57406	57406	ENSG00000163686
HGNC:23759	ABHD8	abhydrolase domain containing 8	79575	79575	ENSG00000127220
HGNC:25656	ABHD10	abhydrolase domain containing 10	55347	55347	ENSG00000144827
HGNC:16407	ABHD11	abhydrolase domain containing 11	83451	83451	ENSG00000106077
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	171022	171022	ENSG00000225969
HGNC:40012	ABHD11-AS2~withdrawn	entry withdrawn			
HGNC:15868	ABHD12	abhydrolase domain containing 12	26090	26090	ENSG00000100997
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	145447	145447	ENSG00000131969
HGNC:20293	ABHD13	abhydrolase domain containing 13	84945	84945	ENSG00000139826
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	25864	25864	ENSG00000248487
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	100526760	100526760	ENSG00000114786
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	84836	84836	ENSG00000114779
HGNC:26971	ABHD15	abhydrolase domain containing 15	116236	116236	ENSG00000168792
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1		104355133	ENSG00000264031
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	7920	7920	ENSG00000204427
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	140701	140701	ENSG00000183260
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	81926	81926	ENSG00000129968
HGNC:28394	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	728917	728917	ENSG00000198658
HGNC:33538	ABHD17AP2~withdrawn	symbol withdrawn, see ABHD17AP1			
HGNC:34041	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	648359	648359	ENSG00000250536
HGNC:34042	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	729495	729495	ENSG00000229107
HGNC:34043	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	91219	91219	ENSG00000263366
HGNC:34044	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	644988	644988	ENSG00000226981
HGNC:38508	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	100133212	100133212	ENSG00000260864
HGNC:38509	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	647144	647144	ENSG00000260540
HGNC:38510	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	100132251	100132251	ENSG00000261536
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	51104	51104	ENSG00000107362
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	58489	58489	ENSG00000136379
HGNC:26111	ABHD18	abhydrolase domain containing 18	80167	80167	ENSG00000164074
HGNC:11320	ABI1	abl interactor 1	10006	10006	ENSG00000136754
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	326268	326268	ENSG00000271484
HGNC:24011	ABI2	abl interactor 2	10152	10152	ENSG00000138443
HGNC:29859	ABI3	ABI family member 3	51225	51225	ENSG00000108798
HGNC:17265	ABI3BP	ABI family member 3 binding protein	25890	25890	ENSG00000154175
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	25	ENSG00000097007
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	27	ENSG00000143322
HGNC:78	ABLIM1	actin binding LIM protein 1	3983	3983	ENSG00000099204
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	84448	84448	ENSG00000163995
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	22885	22885	ENSG00000173210
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	28	28	ENSG00000175164
HGNC:81	ABR	ABR, RhoGEF and GTPase activating protein	29	29	ENSG00000159842
HGNC:30655	ABRA	actin binding Rho activating protein	137735	137735	ENSG00000174429
HGNC:21230	ABRACL	ABRA C-terminal like	58527	58527	ENSG00000146386
HGNC:25829	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	84142	84142	ENSG00000163322
HGNC:28975	ABRAXAS2	abraxas 2, BRISC complex subunit	23172	23172	ENSG00000165660
HGNC:17369	ABT1	activator of basal transcription 1	29777	29777	ENSG00000146109
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	100420695	100420695	ENSG00000250496
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	80325	80325	ENSG00000114626
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	25841	25841	ENSG00000166016
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	30	30	ENSG00000060971
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	10449	10449	ENSG00000167315
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	31	31	ENSG00000278540
HGNC:85	ACACB	acetyl-CoA carboxylase beta	32	32	ENSG00000076555
HGNC:86	ACAD~withdrawn	entry withdrawn			
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	27034	27034	ENSG00000151498
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	28976	28976	ENSG00000177646
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	80724	80724	ENSG00000111271
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	84129	84129	ENSG00000240303
HGNC:88	ACADL	acyl-CoA dehydrogenase long chain	33	33	ENSG00000115361
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	34	34	ENSG00000117054
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	35	35	ENSG00000122971
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	36	36	ENSG00000196177
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	37	37	ENSG00000072778
HGNC:319	ACAN	aggrecan	176	176	ENSG00000157766
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	9744	9744	ENSG00000072818
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	23527	23527	ENSG00000114331
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1		100874306	ENSG00000229325
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	116983	116983	ENSG00000131584
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	38	38	ENSG00000075239
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	39	39	ENSG00000120437
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	64746	64746	ENSG00000182827
HGNC:40701	ACBD3-AS1	ACBD3 antisense RNA 1	107985353	107985353	ENSG00000234478
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	79777	79777	ENSG00000181513
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	91452	91452	ENSG00000107897
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	84320	84320	ENSG00000230124
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	414149	414149	ENSG00000176244
HGNC:96	ACBP~withdrawn	symbol withdrawn, see CPN2			
HGNC:97	ACC~withdrawn	symbol withdrawn, see ACACA			
HGNC:98	ACCN~withdrawn	symbol withdrawn, see ASIC2			
HGNC:14594	ACCPN~withdrawn	symbol withdrawn, see SLC12A6			
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	84680	84680	ENSG00000110455
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	390110	390110	ENSG00000205126
HGNC:25070	ACD	ACD, shelterin complex subunit and telomerase recruitment factor	65057	65057	ENSG00000102977
HGNC:2707	ACE	angiotensin I converting enzyme	1636	1636	ENSG00000159640
HGNC:13557	ACE2	angiotensin I converting enzyme 2	59272	59272	ENSG00000130234
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene	100129123	100129123	ENSG00000224353
HGNC:18356	ACER1	alkaline ceramidase 1	125981	125981	ENSG00000167769
HGNC:23675	ACER2	alkaline ceramidase 2	340485	340485	ENSG00000177076
HGNC:16066	ACER3	alkaline ceramidase 3	55331	55331	ENSG00000078124
HGNC:106	ACH~withdrawn	symbol withdrawn, see FGFR3			
HGNC:107	ACHAP~withdrawn	symbol withdrawn, see CUTA			
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	43	43	ENSG00000087085
HGNC:109	ACHM1~withdrawn	symbol withdrawn, see CNGB3			
HGNC:110	ACHM2~withdrawn	symbol withdrawn, see CNGA3			
HGNC:111	ACHM3~withdrawn	symbol withdrawn, see CNGB3			
HGNC:112	ACHRD~withdrawn	symbol withdrawn, see CHRND			
HGNC:113	ACHRG~withdrawn	symbol withdrawn, see CHRNG			
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	22985	22985	ENSG00000100813
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	2532	2532	ENSG00000213088
HGNC:1565	ACKR2	atypical chemokine receptor 2	1238	1238	ENSG00000144648
HGNC:23692	ACKR3	atypical chemokine receptor 3	57007	57007	ENSG00000144476
HGNC:1611	ACKR4	atypical chemokine receptor 4	51554	51554	ENSG00000129048
HGNC:114	ACLS	acrocallosal syndrome	46	46	
HGNC:115	ACLY	ATP citrate lyase	47	47	ENSG00000131473
HGNC:116	ACMG~withdrawn	entry withdrawn			
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	130013	130013	ENSG00000153086
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	347275	347275	ENSG00000227411
HGNC:117	ACO1	aconitase 1	48	48	ENSG00000122729
HGNC:118	ACO2	aconitase 2	50	50	ENSG00000100412
HGNC:33904	ACOD1	aconitate decarboxylase 1	730249	730249	ENSG00000102794
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	641371	641371	ENSG00000184227
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	10965	10965	ENSG00000119673
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	122970	122970	ENSG00000177465
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	641372	641372	ENSG00000205669
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	11332	11332	ENSG00000097021
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	10005	10005	ENSG00000101473
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	23597	23597	ENSG00000123130
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	26027	26027	ENSG00000162390
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	134526	134526	ENSG00000172497
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	55856	55856	ENSG00000112304
HGNC:119	ACOX1	acyl-CoA oxidase 1	51	51	ENSG00000161533
HGNC:120	ACOX2	acyl-CoA oxidase 2	8309	8309	ENSG00000168306
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl	8310	8310	ENSG00000087008
HGNC:25621	ACOXL	acyl-CoA oxidase like	55289	55289	ENSG00000153093
HGNC:41112	ACOXL-AS1	ACOXL antisense RNA 1	400997	400997	ENSG00000204581
HGNC:122	ACP1	acid phosphatase 1	52	52	ENSG00000143727
HGNC:123	ACP2	acid phosphatase 2, lysosomal	53	53	ENSG00000134575
HGNC:14376	ACP4	acid phosphatase 4	93650	93650	ENSG00000142513
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	54	54	ENSG00000102575
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	51205	51205	ENSG00000162836
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	390928	390928	ENSG00000183760
HGNC:125	ACPP	acid phosphatase, prostate	55	55	ENSG00000014257
HGNC:126	ACR	acrosin	49	49	ENSG00000100312
HGNC:17195	ACRBP	acrosin binding protein	84519	84519	ENSG00000111644
HGNC:127	ACRV1	acrosomal vesicle protein 1	56	56	ENSG00000134940
HGNC:128	ACS3~withdrawn	symbol withdrawn, see TWIST1			
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	23205	23205	ENSG00000103740
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	81616	81616	ENSG00000130377
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	80221	80221	ENSG00000167107
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	197322	197322	ENSG00000176715
HGNC:3569	ACSL1	acyl-CoA synthetase long chain family member 1	2180	2180	ENSG00000151726
HGNC:3570	ACSL3	acyl-CoA synthetase long chain family member 3	2181	2181	ENSG00000123983
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	2182	2182	ENSG00000068366
HGNC:16526	ACSL5	acyl-CoA synthetase long chain family member 5	51703	51703	ENSG00000197142
HGNC:16496	ACSL6	acyl-CoA synthetase long chain family member 6	23305	23305	ENSG00000164398
HGNC:18049	ACSM1	acyl-CoA synthetase medium chain family member 1	116285	116285	ENSG00000166743
HGNC:32017	ACSM2A	acyl-CoA synthetase medium chain family member 2A	123876	123876	ENSG00000183747
HGNC:30931	ACSM2B	acyl-CoA synthetase medium chain family member 2B	348158	348158	ENSG00000066813
HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3	6296	6296	ENSG00000005187
HGNC:32016	ACSM4	acyl-CoA synthetase medium chain family member 4	341392	341392	ENSG00000215009
HGNC:26060	ACSM5	acyl-CoA synthetase medium chain family member 5	54988	54988	ENSG00000183549
HGNC:51295	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	100421779	100421779	ENSG00000260762
HGNC:31665	ACSM6	acyl-CoA synthetase medium chain family member 6	142827	142827	ENSG00000173124
HGNC:16091	ACSS1	acyl-CoA synthetase short chain family member 1	84532	84532	ENSG00000154930
HGNC:15814	ACSS2	acyl-CoA synthetase short chain family member 2	55902	55902	ENSG00000131069
HGNC:24723	ACSS3	acyl-CoA synthetase short chain family member 3	79611	79611	ENSG00000111058
HGNC:129	ACTA1	actin, alpha 1, skeletal muscle	58	58	ENSG00000143632
HGNC:130	ACTA2	actin, alpha 2, smooth muscle, aorta	59	59	ENSG00000107796
HGNC:45169	ACTA2-AS1	ACTA2 antisense RNA 1	100132116	100132116	ENSG00000180139
HGNC:131	ACTA3~withdrawn	symbol withdrawn, see ACTG2			
HGNC:132	ACTB	actin beta	60	60	ENSG00000075624
HGNC:17780	ACTBL2	actin, beta like 2	345651	345651	ENSG00000169067
HGNC:134	ACTBP1	actin, beta pseudogene 1	643309	643309	ENSG00000229145
HGNC:135	ACTBP2	actin, beta pseudogene 2	62	62	ENSG00000213763
HGNC:136	ACTBP3	actin, beta pseudogene 3	63	63	
HGNC:137	ACTBP4	actin, beta pseudogene 4	64	64	
HGNC:138	ACTBP5~withdrawn	entry withdrawn			
HGNC:139	ACTBP6	actin, beta pseudogene 6	66	66	ENSG00000203413
HGNC:140	ACTBP7	actin, beta pseudogene 7	67	67	ENSG00000185607
HGNC:141	ACTBP8	actin, beta pseudogene 8	68	68	ENSG00000220267
HGNC:142	ACTBP9	actin, beta pseudogene 9	69	69	ENSG00000266920
HGNC:31819	ACTBP10	actin, beta pseudogene 10	446207	446207	
HGNC:33971	ACTBP11	actin, beta pseudogene 11	644220	644220	ENSG00000188460
HGNC:150	ACTBP12	actin, beta pseudogene 12	100462767	100462767	ENSG00000233125
HGNC:44626	ACTBP13	actin, beta pseudogene 13	389120	389120	ENSG00000234667
HGNC:45086	ACTBP14	actin, beta pseudogene 14	389976	389976	ENSG00000229001
HGNC:143	ACTC1	actin, alpha, cardiac muscle 1	70	70	ENSG00000159251
HGNC:144	ACTG1	actin gamma 1	71	71	ENSG00000184009
HGNC:146	ACTG1P1	actin gamma 1 pseudogene 1	73	73	ENSG00000178631
HGNC:147	ACTG1P2	actin gamma 1 pseudogene 2	74	74	ENSG00000229129
HGNC:148	ACTG1P3	actin gamma 1 pseudogene 3	75	75	ENSG00000215388
HGNC:149	ACTG1P4	actin gamma 1 pseudogene 4	648740	648740	ENSG00000236085
HGNC:151	ACTG1P6	actin gamma 1 pseudogene 6	78	78	
HGNC:152	ACTG1P7	actin gamma 1 pseudogene 7	79	79	
